lag,hl30_z,hl30_z2,hl30_z2_seasonally_adjusted,hl30_band95,hl60_z,hl60_z2,hl60_z2_seasonally_adjusted,hl60_band95
1,0.032452616,0.010564238,-0.0042641935,0.010815532,0.035963266,0.046627056,0.018208394,0.010815532
2,-0.032305973,0.0077650647,-0.010345852,0.011071679,-0.033734823,0.037831094,0.0077164708,0.011071679
3,0.014610855,0.019766215,0.00092559876,0.011346743,0.017194161,0.045334648,0.018638751,0.011346743
4,0.036231296,0.021693926,-0.0032027142,0.011643382,0.040861418,0.042430816,0.012803433,0.011643382
5,0.034448502,0.033094747,0.00027696846,0.011964349,0.03858723,0.054868286,0.016993624,0.011964349
6,0.021375239,0.017420043,-0.0056075092,0.012313414,0.023510556,0.028316843,0.0050769419,0.012313414
7,0.019697501,0.018992679,-0.0059029533,0.012694663,0.020803185,0.030827264,0.0040337815,0.012694663
8,0.025528002,0.019698006,-0.0046579624,0.013113375,0.025536875,0.026516859,0.0068293221,0.013113375
9,0.011679723,0.025997494,-0.00070745515,0.013575803,0.0089709552,0.029941429,0.0085017859,0.013575803
10,0.013425028,0.022301823,-0.0016216878,0.014090877,0.011319767,0.028731989,0.0077815591,0.014090877
11,0.017413631,0.020968361,-8.4174574e-07,0.01466941,0.014296166,0.023073983,0.0081319697,0.01466941
12,0.00036670952,0.012722016,-0.0031993929,0.015325133,0.00016405134,0.015230654,0.0034186409,0.015325133
