index,group,empirical_ewma_hl30_seasonal_cov950,normal_hl30_seasonal_cov950,student_t_hl30_seasonal_cov950,ged_hl30_seasonal_cov950,skewed_t_hl30_seasonal_cov950,skewed_ged_hl30_seasonal_cov950,nig_hl30_seasonal_cov950,gh_hl30_seasonal_cov950,normal_mixture_2_hl30_seasonal_cov950,normal_mixture_3_hl30_seasonal_cov950,empirical_ewma_hl60_seasonal_cov950,normal_hl60_seasonal_cov950,student_t_hl60_seasonal_cov950,ged_hl60_seasonal_cov950,skewed_t_hl60_seasonal_cov950,skewed_ged_hl60_seasonal_cov950,nig_hl60_seasonal_cov950,gh_hl60_seasonal_cov950,normal_mixture_2_hl60_seasonal_cov950,normal_mixture_3_hl60_seasonal_cov950,empirical_ewma_hl30_seasonal_cov990,normal_hl30_seasonal_cov990,student_t_hl30_seasonal_cov990,ged_hl30_seasonal_cov990,skewed_t_hl30_seasonal_cov990,skewed_ged_hl30_seasonal_cov990,nig_hl30_seasonal_cov990,gh_hl30_seasonal_cov990,normal_mixture_2_hl30_seasonal_cov990,normal_mixture_3_hl30_seasonal_cov990,empirical_ewma_hl60_seasonal_cov990,normal_hl60_seasonal_cov990,student_t_hl60_seasonal_cov990,ged_hl60_seasonal_cov990,skewed_t_hl60_seasonal_cov990,skewed_ged_hl60_seasonal_cov990,nig_hl60_seasonal_cov990,gh_hl60_seasonal_cov990,normal_mixture_2_hl60_seasonal_cov990,normal_mixture_3_hl60_seasonal_cov990
0,09:00,0.9408664,0.93626605,0.93914127,0.94527506,0.93885375,0.94527506,0.94211233,0.93894959,0.93703278,0.9377995,0.93808702,0.93540349,0.93866207,0.94326241,0.9382787,0.94345409,0.94096224,0.93866207,0.93636189,0.93645773,0.98370711,0.97143952,0.98303623,0.98207782,0.98246118,0.9817903,0.98217366,0.98236534,0.98418631,0.98370711,0.98380295,0.97086448,0.98294039,0.9817903,0.98284455,0.9817903,0.98265287,0.98294039,0.98552808,0.9848572
1,09:15,0.9504368,0.94731681,0.94990194,0.95516135,0.94999109,0.95498306,0.95230879,0.9498128,0.94794081,0.94794081,0.94945623,0.9468711,0.94999109,0.95507221,0.94972366,0.95516135,0.95257622,0.94972366,0.94713853,0.94776252,0.99019433,0.97905152,0.98858977,0.98752006,0.98903548,0.9876092,0.98841148,0.98903548,0.99090747,0.99028347,0.9899269,0.97860581,0.98858977,0.98778748,0.98850062,0.98796577,0.98832234,0.98858977,0.99064004,0.99019433
2,09:30,0.94882311,0.94463267,0.94721826,0.95274608,0.9471291,0.95292439,0.95042796,0.94730742,0.94534593,0.94579173,0.94507846,0.94293866,0.94588088,0.95149786,0.94579173,0.9514087,0.94873395,0.94561341,0.94356277,0.94365193,0.99001427,0.97842368,0.98903352,0.98796362,0.98876605,0.98778531,0.98840942,0.98849857,0.99099501,0.99019258,0.98947932,0.97815621,0.98894437,0.98805278,0.98903352,0.98814194,0.98867689,0.98903352,0.99054922,0.98983595
3,09:45,0.95404248,0.95002677,0.95243619,0.95796895,0.95261467,0.95779047,0.95529181,0.95270391,0.95065144,0.95100839,0.95323934,0.95047296,0.95350705,0.95823666,0.95332857,0.95823666,0.9564519,0.95341781,0.9512761,0.95145458,0.99089773,0.9811708,0.98955916,0.98857755,0.98955916,0.98839907,0.98920221,0.98929145,0.99143316,0.99098697,0.9896484,0.98099233,0.98973764,0.9889345,0.98973764,0.98902374,0.98973764,0.98973764,0.99089773,0.99054078
4,10:00,0.95630852,0.95247436,0.95541685,0.95987517,0.95532769,0.95987517,0.95818101,0.95506019,0.95283103,0.95283103,0.95470352,0.95193937,0.95506019,0.96049933,0.95461436,0.960321,0.95800267,0.95443602,0.9529202,0.95256353,0.99117254,0.98279091,0.99045921,0.98965671,0.99028087,0.98947838,0.98992421,0.99028087,0.99188587,0.99161837,0.9915292,0.98234507,0.99072671,0.98947838,0.99054837,0.98947838,0.99010254,0.99045921,0.99251003,0.9920642
5,10:15,0.96051693,0.95775401,0.95998217,0.96319073,0.96024955,0.96345811,0.96149733,0.95998217,0.95811052,0.9583779,0.96051693,0.95864528,0.96024955,0.96622103,0.96033868,0.96604278,0.96327986,0.96024955,0.95900178,0.95926916,0.99180036,0.98297683,0.99064171,0.99010695,0.99073084,0.99010695,0.99064171,0.99055258,0.99206774,0.9916221,0.9912656,0.98368984,0.99081996,0.98983957,0.99073084,0.98983957,0.99055258,0.99073084,0.99233512,0.99171123
6,10:30,0.95622716,0.95203709,0.9552465,0.95943657,0.95480075,0.95916912,0.95720781,0.9548899,0.95319604,0.95355264,0.95792101,0.9556031,0.95809931,0.96184363,0.95792101,0.96211108,0.96014977,0.95783186,0.95649461,0.95667291,0.99072836,0.98074351,0.9895694,0.9886779,0.98965855,0.9888562,0.98930195,0.98930195,0.99072836,0.99046091,0.99170901,0.98118927,0.99072836,0.99001516,0.99099581,0.99001516,0.99090666,0.99099581,0.99242222,0.99179816
7,10:45,0.96345485,0.95988947,0.96265264,0.96621802,0.96247437,0.96586148,0.96470274,0.96256351,0.96131563,0.96113736,0.96345485,0.96158303,0.96390053,0.96755504,0.96354399,0.96746591,0.96586148,0.96372226,0.9622961,0.9622961,0.99215616,0.98591675,0.99171049,0.99117568,0.99153222,0.99126482,0.99135395,0.99162136,0.99278011,0.99233443,0.99242357,0.98609502,0.99197789,0.99144309,0.99179963,0.99144309,0.99188876,0.99188876,0.99331491,0.99286924
8,11:00,0.94910873,0.94491979,0.94821747,0.95311943,0.94848485,0.95311943,0.95044563,0.94821747,0.94634581,0.94652406,0.95276292,0.95026738,0.95285205,0.95864528,0.9530303,0.95846702,0.95606061,0.95249554,0.95062389,0.95089127,0.99064171,0.98012478,0.98841355,0.98743316,0.98850267,0.98752228,0.98823529,0.98832442,0.99117647,0.99073084,0.99090909,0.98101604,0.98966132,0.98894831,0.98966132,0.98868093,0.98948307,0.98957219,0.99197861,0.99188948
9,11:15,0.95229603,0.94667856,0.95024521,0.95657601,0.95069104,0.95666518,0.95443602,0.95033437,0.94828355,0.94810522,0.95559519,0.95229603,0.95568435,0.95934017,0.95523852,0.9595185,0.95800267,0.95550602,0.95407936,0.95399019,0.99001337,0.98020508,0.98849755,0.98787338,0.98894338,0.98778422,0.98858671,0.98885421,0.99045921,0.99010254,0.99054837,0.98109675,0.99001337,0.98930004,0.99010254,0.98921088,0.98956754,0.99010254,0.99161837,0.99108337
